compound.dt50.sediment,compound.dt50.soil,compound.dt50.surfaceWater,compound.dt50.system,compound.freundlich,compound.henry,compound.koc,compound.molarMass,compound.name,compound.plant_uptake,compound.reference_temperature,compound.vapor_pressure,compound.water_solubility,gap.application_dates.0,gap.application_dates.1,gap.arguments.apply_every_n_years,gap.arguments.interval,gap.arguments.modelCrop,gap.arguments.name,gap.arguments.number_of_applications,gap.arguments.rate,gap.arguments.time_in_year,gap.converted_rates.0,gap.converted_rates.1,gap.type,gap.yearly_application_on_soil,scenario,0.compound_pec,0.compound_name
6.0,243.51,6.0,6.0,0.97651,1.7,723.46,300.0,Compound -8755437993736138775,0.0,20.0,13.0,2208.4164,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0005082838201613129,Compound -8755437993736138775
6.0,11.05,6.0,6.0,0.96928,0.0471,3069.58,300.0,Compound 1875670119475201451,0.0,20.0,0.0046,29.321,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 1875670119475201451
6.0,33.44,6.0,6.0,0.90465,2.8e-08,11.35,300.0,Compound -3278908733644552776,0.0,20.0,7.4e-06,79586.4701,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,1.0504652849114748,Compound -3278908733644552776
6.0,30.56,6.0,6.0,0.90292,5.63e-05,11737.1,300.0,Compound -2915209950250184696,0.0,20.0,0.0067,35654.0407,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound -2915209950250184696
6.0,13.78,6.0,6.0,0.95307,1.42e-05,80.45,300.0,Compound 1098668100099445410,0.0,20.0,8.4e-07,17.6551,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,1.7710666269065206e-05,Compound 1098668100099445410
6.0,1647.02,6.0,6.0,0.94552,0.0096,260.46,300.0,Compound -301009577329950396,0.0,20.0,0.0037,114.8312,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,17.36436068338088,Compound -301009577329950396
6.0,44.77,6.0,6.0,0.92286,0.886,2941.95,300.0,Compound 3552446445891413144,0.0,20.0,5.1,1710.3665,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 3552446445891413144
6.0,8.06,6.0,6.0,0.90385,1020000.0,9776.84,300.0,Compound -4668943197399082860,0.0,20.0,14000.0,4.1459,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,2.1850333206956763e-07,Compound -4668943197399082860
6.0,36.93,6.0,6.0,0.92322,0.000841,0.45,300.0,Compound -3833467975865688000,0.0,20.0,7.5e-06,2.6901,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,3.1358754867288248,Compound -3833467975865688000
6.0,193.01,6.0,6.0,0.91565,0.000876,6186.18,300.0,Compound 8448999131180878516,0.0,20.0,0.028,9562.9123,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 8448999131180878516
