,combination.compound.dt50.sediment,combination.compound.dt50.soil,combination.compound.dt50.surfaceWater,combination.compound.dt50.system,combination.compound.freundlich,combination.compound.henry,combination.compound.koc,combination.compound.molarMass,combination.compound.name,combination.compound.plant_uptake,combination.compound.reference_temperature,combination.compound.vapor_pressure,combination.compound.water_solubility,combination.gap.arguments.apply_every_n_years,combination.gap.arguments.bbch,combination.gap.arguments.interval,combination.gap.arguments.modelCrop,combination.gap.arguments.name,combination.gap.arguments.number_of_applications,combination.gap.arguments.rate,combination.gap.arguments.season,combination.gap.type,combination.scenarios.0,0.compound_pec,0.compound_name
35,6.0,14.2,6.0,6.0,0.90983,9.91e-07,35.77,300.0,Compound 8957766702903300904,0.0,20.0,1.3e-05,3843.7843,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0450298411010912,Compound 8957766702903300904
36,6.0,6.32,6.0,6.0,0.98974,786000.0,2.62,300.0,Compound 5294504612961108634,0.0,20.0,230000.0,89.1105,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,O,4.43552501995726e-06,Compound 5294504612961108634
37,6.0,20.3,6.0,6.0,0.92148,0.0002,85.65,300.0,Compound 7565424937885798870,0.0,20.0,4.2e-06,6.2684,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,H,0.0053310643140689,Compound 7565424937885798870
38,6.0,1.07,6.0,6.0,0.97806,179000.0,12.38,300.0,Compound -6910635502212536821,0.0,20.0,150000.0,254.9001,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,P,2.415977342577816e-06,Compound -6910635502212536821
39,6.0,2.19,6.0,6.0,0.98015,6.51e-05,45.77,300.0,Compound -897839389552190810,0.0,20.0,9e-06,41.355,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,4.698781019392301e-12,Compound -897839389552190810
40,6.0,1.86,6.0,6.0,0.93391,0.284,54.36,300.0,Compound -4912331440420558704,0.0,20.0,0.045,47.229,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,J,-1.2434222462512384e-17,Compound -4912331440420558704
41,6.0,2.9,6.0,6.0,0.95846,0.000125,53.48,300.0,Compound -1354307450758800820,0.0,20.0,2.2e-05,51.8832,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,C,2.189511474514151e-12,Compound -1354307450758800820
42,6.0,114.17,6.0,6.0,0.96984,9.42e-11,1008.75,300.0,Compound -4326934842052592991,0.0,20.0,4.4e-08,139615.6823,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,O,0.0005192008367113,Compound -4326934842052592991
43,6.0,125.09,6.0,6.0,0.90708,8.94e-06,811.12,300.0,Compound 3967553450450565964,0.0,20.0,1.7e-07,5.7804,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,P,1.9983936206696275e-05,Compound 3967553450450565964
44,6.0,6.9,6.0,6.0,0.92122,3.59e-06,25.47,300.0,Compound -3445873436111590725,0.0,20.0,3.1e-07,26.1353,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0030246000080614,Compound -3445873436111590725
