combination.compound.dt50.sediment,combination.compound.dt50.soil,combination.compound.dt50.surfaceWater,combination.compound.dt50.system,combination.compound.freundlich,combination.compound.henry,combination.compound.koc,combination.compound.molarMass,combination.compound.name,combination.compound.plant_uptake,combination.compound.reference_temperature,combination.compound.vapor_pressure,combination.compound.water_solubility,combination.gap.arguments.apply_every_n_years,combination.gap.arguments.bbch,combination.gap.arguments.interval,combination.gap.arguments.modelCrop,combination.gap.arguments.name,combination.gap.arguments.number_of_applications,combination.gap.arguments.rate,combination.gap.arguments.season,combination.gap.type,combination.scenarios.0,0.compound_pec,0.compound_name
6.0,0.9,6.0,6.0,0.94,6.66e-05,145.0,300.0,Compound -4276570031797485007,0.0,20.0,3.2e-05,145.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -4276570031797485007
6.0,62.98,6.0,6.0,1.0,0.287,189235.07,300.0,Compound -230962181151711121,0.0,20.0,180.0,189235.0656,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -230962181151711121
6.0,0.05,6.0,6.0,0.74,0.00391,998.0,300.0,Compound 3274890873424065545,0.0,20.0,0.013,998.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 3274890873424065545
6.0,545.0,6.0,6.0,0.829,6.83e-08,123.0,300.0,Compound -5869200545560088092,0.0,20.0,2.8e-08,123.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -5869200545560088092
6.0,18.0,6.0,6.0,0.945,461.0,1179677.21,300.0,Compound -7841615232732897483,0.0,20.0,1800000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -7841615232732897483
6.0,47.07,6.0,6.0,1.0,-63000.0,-107127.59,300.0,Compound -1848413870356150585,0.0,20.0,23000000.0,-107127.5938,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -1848413870356150585
6.0,32.51,6.0,6.0,1.0,3440000.0,410.0,300.0,Compound -2211794819802188267,0.0,20.0,4700000.0,410.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -2211794819802188267
6.0,59.1,6.0,6.0,1.0,1.7e-07,17300.0,300.0,Compound -7156719392881914582,0.0,20.0,9.8e-06,17300.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -7156719392881914582
6.0,34.0,6.0,6.0,1.0,12000000000.0,5.0,300.0,Compound -5973353043130158043,0.0,20.0,200000000.0,5.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -5973353043130158043
6.0,20.0,6.0,6.0,0.93,0.922,55.3,300.0,Compound 466156660365157971,0.0,20.0,0.17,55.3,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 466156660365157971
6.0,29.0,6.0,6.0,0.97,461.0,1179677.21,300.0,Compound -4138570942795582922,0.0,20.0,1800000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -4138570942795582922
6.0,103.22,6.0,6.0,1.0,0.00343,98824.44,300.0,Compound 6740561808670077443,0.0,20.0,1.1,98824.4367,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 6740561808670077443
6.0,20.0,6.0,6.0,1.0,0.00545,550.0,300.0,Compound 1106466115786539510,0.0,20.0,0.01,550.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 1106466115786539510
6.0,90.77,6.0,6.0,1.0,518.0,1179677.21,300.0,Compound -980856891764548939,0.0,20.0,2000000.0,1179677.2096,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -980856891764548939
6.0,1.7,6.0,6.0,1.03,0.0395,7.0,300.0,Compound 3294689478410203993,0.0,20.0,0.00092,7.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound 3294689478410203993
6.0,200.59,6.0,6.0,1.0,7860.0,100235.07,300.0,Compound -5109488562318646079,0.0,20.0,2600000.0,100235.067,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -5109488562318646079
6.0,456.0,6.0,6.0,0.936,0.00993,402.0,300.0,Compound -2206962481712853742,0.0,20.0,0.013,402.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -2206962481712853742
6.0,2.7,6.0,6.0,1.0,120.0,163.0,300.0,Compound -570168773829396211,0.0,20.0,65.0,163.0,1,31,14,WC,GAP -199991243157005737,2,250.0,0,relative,N,0.0,Compound -570168773829396211
