compound.dt50.sediment,compound.dt50.soil,compound.dt50.surfaceWater,compound.dt50.system,compound.freundlich,compound.koc,compound.metabolites.0.formation_fraction,compound.metabolites.0.metabolite.dt50.sediment,compound.metabolites.0.metabolite.dt50.soil,compound.metabolites.0.metabolite.dt50.surfaceWater,compound.metabolites.0.metabolite.dt50.system,compound.metabolites.0.metabolite.freundlich,compound.metabolites.0.metabolite.koc,compound.metabolites.0.metabolite.molarMass,compound.metabolites.0.metabolite.name,compound.metabolites.0.metabolite.plant_uptake,compound.metabolites.0.metabolite.reference_temperature,compound.metabolites.0.metabolite.vapor_pressure,compound.metabolites.0.metabolite.water_solubility,compound.molarMass,compound.name,compound.plant_uptake,compound.reference_temperature,compound.vapor_pressure,compound.water_solubility,gap.application_dates.0,gap.application_dates.1,gap.arguments.apply_every_n_years,gap.arguments.interval,gap.arguments.modelCrop,gap.arguments.name,gap.arguments.number_of_applications,gap.arguments.rate,gap.arguments.time_in_year,gap.converted_rates.0,gap.converted_rates.1,gap.type,gap.yearly_application_on_soil,scenario,0.compound_pec,1.compound_pec,0.compound_name,1.compound_name
6.0,211.68,6.0,6.0,1.02374,0.82,0.2,6.0,1.11,6.0,6.0,0.96202,64.4,300.0,Compound -1982112011929541339,0.0,20.0,0.0001,80.0,300.0,Compound -2886860054311498091,0.0,20.0,2.3e-06,0.4959,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,24.642266056168413,0.017716078449128047,Compound -2886860054311498091,Compound -1982112011929541339
6.0,160.8,6.0,6.0,0.74184,158.91,0.2,6.0,18.78,6.0,6.0,0.76875,0.46,300.0,Compound -2597870375889083718,0.0,20.0,0.0001,80.0,300.0,Compound -1786501346096948345,0.0,20.0,6.5e-07,7.0373,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,0.01146776483958356,1.5883943875106181,Compound -1786501346096948345,Compound -2597870375889083718
6.0,223.1,6.0,6.0,0.74478,0.24,0.2,6.0,5.5,6.0,6.0,0.76147,7.42,300.0,Compound -580550423588781418,0.0,20.0,0.0001,80.0,300.0,Compound -1128368826391136699,0.0,20.0,3.7e-06,546.2243,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,41.384922732842995,0.09666838906054002,Compound -1128368826391136699,Compound -580550423588781418
6.0,186.5,6.0,6.0,1.02204,3.46,0.2,6.0,7.08,6.0,6.0,0.91038,1063.21,300.0,Compound 3666832631661153068,0.0,20.0,0.0001,80.0,300.0,Compound 1584666777872679727,0.0,20.0,5.9e-05,71.1006,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,31.383916784194014,0.05706540398807669,Compound 1584666777872679727,Compound 3666832631661153068
6.0,70.62,6.0,6.0,1.11203,20.28,0.2,6.0,2.06,6.0,6.0,1.09267,1.25,300.0,Compound 8218261316388378228,0.0,20.0,0.0001,80.0,300.0,Compound 2917937464797464301,0.0,20.0,5.2e-05,12349.9696,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,16.427457336981362,0.12219569768259339,Compound 2917937464797464301,Compound 8218261316388378228
6.0,439.56,6.0,6.0,1.03793,1.06,0.2,6.0,2.89,6.0,6.0,1.05763,876.39,300.0,Compound 6472265120195809677,0.0,20.0,0.0001,80.0,300.0,Compound 6335325865180906966,0.0,20.0,5.9e-06,4.4337,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,34.58252701419522,0.018276812527358962,Compound 6335325865180906966,Compound 6472265120195809677
6.0,65.84,6.0,6.0,0.81343,124.16,0.2,6.0,24.26,6.0,6.0,0.72967,150.36,300.0,Compound 747056069006407102,0.0,20.0,0.0001,80.0,300.0,Compound 4291109015745647193,0.0,20.0,4.6e-05,24.2007,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,0.004850691805377542,6.763064976058568e-05,Compound 4291109015745647193,Compound 747056069006407102
6.0,339.65,6.0,6.0,1.00805,81.17,0.2,6.0,28.58,6.0,6.0,0.87975,0.76,300.0,Compound -5617674588561970284,0.0,20.0,0.0001,80.0,300.0,Compound -3662719334183119867,0.0,20.0,0.0013,465.5771,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,21.598099266307564,1.4773698426000692,Compound -3662719334183119867,Compound -5617674588561970284
6.0,200.92,6.0,6.0,0.90698,6.02,0.2,6.0,6.95,6.0,6.0,0.7247,594.34,300.0,Compound -8515745859510133084,0.0,20.0,0.0001,80.0,300.0,Compound -157495048286548902,0.0,20.0,1.6e-05,126.8559,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,34.08844997836166,0.05782034372206576,Compound -157495048286548902,Compound -8515745859510133084
6.0,374.9,6.0,6.0,1.11444,2227.8,0.2,6.0,315.53,6.0,6.0,0.81591,6.44,300.0,Compound -6509535298933302031,0.0,20.0,0.0001,80.0,300.0,Compound 1348634950530999160,0.0,20.0,2.2e-05,3.935,0001-05-05 00:00:00,0001-05-19 00:00:00,1,14,WC,GAP -296091488377847865,2,250.0,0001-05-05T00:00:00,50.0,50.0,absolute,100.0,Scenario.H,0.4053147071082669,7.076100667672333,Compound 1348634950530999160,Compound -6509535298933302031
